all_notes,target_description
"['aldehydes', 'green notes', 'honeysuckle', 'bergamot', 'peach', 'lemon', 'rose', 'iris', 'geranium', 'ylang-ylang', 'lily-of-the-valley', 'jasmine', 'magnolia', 'gardenia', 'oakmoss', 'tahitian vetiver', 'musk', 'sandalwood', 'tonka bean', 'amber']","It smells like citrus peel and green notes at first, then bergamot and honeysuckle, finally settling into warm resin, dry wood, and skin."
"['aldehydes', 'ylang-ylang', 'neroli', 'jasmine', 'rose', 'vanilla', 'sandalwood', 'vetiver']","It smells like dry wood, warm vanilla, and a hint of damp soil."
"['aldehydes', 'orange', 'honey', 'geranium', 'musk', 'patchouli', 'amber']","It smells like warm honey and orange zest at first, then settles into a sweet blend of wet leaves and skin."
"['aldehydes', 'grapefruit', 'freesia', 'jasmine', 'lily-of-the-valley', 'orange', 'orchid', 'musk', 'sandalwood']","It smells like grapefruit and freesia at first, then becomes a blend of dry wood, orange, and musk."
"['aldehydes', 'bulgarian rose', 'jasmine', 'amber', 'musk', 'vanilla']","It smells like warm resin, slightly sweet plastic, and vanilla."
"['aldehydes', 'neroli', 'bergamot', 'jasmine', 'rose', 'rosemary', 'iris', 'vanilla', 'amber', 'woody notes']","It smells like warm resin, slightly sweet plastic, and dry wood."
"['aldehydes', 'bergamot', 'heliotrope', 'jasmine', 'white musk', 'cashmeran']","It smells like sweet bergamot and floral jasmine at first, then warm resin and dry wood, finishing with a subtle skin musk."
"['aldehydes', 'bergamot', 'bourbon geranium', 'ylang-ylang', 'tuberose', 'rose', 'jasmine', 'olibanum', 'iris', 'vanilla', 'vetiver', 'sandalwood', 'styrax', 'patchouli']","It smells like warm resin, slightly sweet plastic, and dry wood."
"['yellow mandarin', 'aldehydes', 'cardamom', 'mimosa absolute', 'solar notes', 'violet leaf', 'beeswax', 'musk', 'cedar']","It smells like a combination of sweet citrus and floral notes, followed by a subtle blend of warm resin and dry wood, finishing with a sensual hint of skin and fabric."
"['aldehydes', 'african orange flower', 'bergamot', 'carnation', 'ylang-ylang', 'jasmine', 'rose', 'iris', 'sandalwood', 'vanille', 'amber']","It smells like warm resin, slightly sweet plastic, and dry wood."
