all_notes,target_description
"['aldehydes', 'green notes', 'honeysuckle', 'bergamot', 'peach', 'lemon', 'rose', 'iris', 'geranium', 'ylang-ylang', 'lily-of-the-valley', 'jasmine', 'magnolia', 'gardenia', 'oakmoss', 'tahitian vetiver', 'musk', 'sandalwood', 'tonka bean', 'amber']","It smells like citrus peel and soap at first, then rubber and sawdust."
"['aldehydes', 'ylang-ylang', 'neroli', 'jasmine', 'rose', 'vanilla', 'sandalwood', 'vetiver']","It smells like soap, sugar, and a hint of smoke, with a dry wood undertone."
"['aldehydes', 'orange', 'honey', 'geranium', 'musk', 'patchouli', 'amber']","It smells like sweet citrus and soap at first, then honey, and finally warm plastic and forest floor."
"['aldehydes', 'grapefruit', 'freesia', 'jasmine', 'lily-of-the-valley', 'orange', 'orchid', 'musk', 'sandalwood']","It smells like citrus peel and soap, with a hint of sweet caramel and sawdust."
"['aldehydes', 'bulgarian rose', 'jasmine', 'amber', 'musk', 'vanilla']","It smells like soap, warm plastic, and sweet caramel."
"['aldehydes', 'neroli', 'bergamot', 'jasmine', 'rose', 'rosemary', 'iris', 'vanilla', 'amber', 'woody notes']","It smells like citrus peel and soap at first, then warm plastic and sawdust."
"['aldehydes', 'bergamot', 'heliotrope', 'jasmine', 'white musk', 'cashmeran']","It smells like citrus peel and soap at first, then rubber and sawdust."
"['aldehydes', 'bergamot', 'bourbon geranium', 'ylang-ylang', 'tuberose', 'rose', 'jasmine', 'olibanum', 'iris', 'vanilla', 'vetiver', 'sandalwood', 'styrax', 'patchouli']","It smells like citrus, soap, and wet leaves at first, then glue, smoke, and sawdust."
"['yellow mandarin', 'aldehydes', 'cardamom', 'mimosa absolute', 'solar notes', 'violet leaf', 'beeswax', 'musk', 'cedar']","It smells like a combination of citrus peel and soap at first, followed by the scent of warm rubber and a hint of smoky sawdust."
"['aldehydes', 'african orange flower', 'bergamot', 'carnation', 'ylang-ylang', 'jasmine', 'rose', 'iris', 'sandalwood', 'vanille', 'amber']","It smells like citrus peel and soap at first, then rubber and sawdust."
"['aldehydes', 'rose', 'orange blossom', 'hawthorn', 'musk', 'sandalwood']","It smells like rose and soap at first, then orange blossom, hawthorn, and musk."
"['aldehydes', 'ylang-ylang', 'neroli', 'lemon', 'bergamot', 'rose', 'iris', 'jasmine', 'orris root', 'lily-of-the-valley', 'civet', 'amber', 'sandalwood', 'musk', 'vanilla', 'oakmoss', 'patchouli', 'vetiver']","It smells like citrus, soap, and rubber at first, then warm plastic and damp soil."
"['aldehydes', 'bulgarian rose', 'ylang-ylang', 'jasmine', 'may rose', 'amber', 'liatris', 'vetiver']","It smells like soap, warm plastic, and sawdust."
"['aldehydes', 'jasmine', 'rose', 'iris', 'vanilla', 'woodsy notes']","It smells like soap, vanilla, and sawdust."
"['aldehydes', 'green leaves', 'raspberry', 'jasmine', 'lily-of-the-valley', 'rose', 'violet', 'orris root', 'geranium', 'musk', 'tonka bean', 'sandalwood', 'oakmoss', 'cedar', 'amber']","It smells like soap, crushed leaves, and a hint of glue."
"['aldehydes', 'heliotrope', 'rose', 'orange blossom', 'tonka bean', 'woody notes']","It smells like citrus peel and soap at first, then orange blossom, tonka bean, and sawdust."
"['aldehydes', 'rose', 'oakmoss']","It smells like soap, rose petals, and sawdust."
"['aldehydes', 'violet leaves', 'bergamot', 'osmanthus', 'lily-of-the-valley', 'rose', 'tonka bean', 'cypriol oil or nagarmotha', 'patchouli']","It smells like citrus peel and soap at first, then it's like walking through a forest with wet leaves and sawdust, with a hint of smoke and caramel."
"['aldehydes', 'hyacinth', 'rose', 'jasmine', 'musk', 'sandalwood', 'cedar', 'amber']","It smells like soap, rose, and warm skin at first, then gradually reveals hints of dry wood and tree sap."
"['aldehydes', 'white peach', 'tea', 'bergamot', 'osmanthus', 'jasmine', 'magnolia', 'musk', 'vanilla', 'sandalwood', 'amber', 'myrrh']","It smells like white peach and citrus peel, with notes of soap and glue."
"['aldehydes', 'neroli', 'bergamot', 'mimosa', 'basil', 'mandarin orange', 'jasmine', 'patchouli', 'coriander', 'ginger', 'carnation', 'ylang-ylang', 'rose', 'cyclamen', 'orris root', 'african orange flower', 'oak moss', 'virginia cedar', 'musk', 'sandalwood', 'amber', 'french labdanum']","It smells like citrus peel, soap, and caramel at first, then warm plastic, pencil shavings, and sawdust."
"['aldehydes', 'damask rose', 'turkish rose', 'geranium', 'violet', 'violet leaf', 'ambrette (musk mallow)', 'sandalwood']","It smells like soap and sugar, with hints of glue and sawdust."
"['aldehydes', 'neroli', 'jasmine', 'may rose', 'woody notes']","It smells like soap, rubber, and sawdust, with a subtle hint of melted plastic and caramel."
"['aldehydes', 'ylang-ylang', 'jasmine', 'musk', 'vetiver']","It smells like soap, citrus peel, and fizzy clean air, with notes of damp soil and roots."
"['orange oil', 'pink pepper', 'peach', 'floral notes', 'solar notes', 'amber']","It smells like juicy peach and soap at first, then warm glue and sawdust."
"['aldehydes', 'citruses', 'plum', 'peach', 'cinnamon', 'rose', 'african orange flower', 'violet', 'lavender', 'spices', 'oak moss', 'woodsy notes', 'musk', 'vanille']","It smells like a combination of citrus peel, soap, and juicy peach, with hints of warm cinnamon and sweet vanilla."
"['aldehydes', 'neroli', 'sorbet', 'white tea', 'litchi', 'jasmine', 'white musk']","It smells like citrus peel and soap at first, then litchi, rubber, and sawdust."
"['violet', 'jasmine', 'narcissus', 'lily-of-the-valley', 'rose', 'bergamot', 'peach', 'aldehydes', 'rosemary', 'tuberose', 'musk', 'vetiver', 'civetta', 'bamboo', 'tonka bean', 'amber', 'sandalwood']","It smells like sweet rose and freshly cut grass, with hints of warm glue and damp soil."
"['aldehydes', 'pink pepper', 'jasmine', 'ylang-ylang', 'labdanum', 'rose', 'benzoin', 'musk', 'praline', 'vanilla', 'patchouli']","It smells like soap, vanilla, and sweet caramel at first, then warm praline and smooth skin."
"['champagne', 'aldehydes', 'orange', 'black pepper', 'black violet', 'pineapple', 'fir', 'acácia', 'lavender', 'bamboo', 'cashmere wood', 'amber', 'papyrus']","It smells like citrus peel and soap at first, then sweet orange and warm black pepper."
"['aldehydes', 'pear', 'lily-of-the-valley', 'orange blossom', 'rose', 'iris', 'white musk', 'ambrette (musk mallow)', 'indonesian patchouli leaf']","It smells like a sweet blend of citrus peel, soap, and sugar, with a subtle hint of smoke and sawdust."
"['aldehydes', 'blood mandarin', 'syringa', 'may rose', 'lily-of-the-valley', 'ylang-ylang', 'oakmoss', 'musk']","It smells like citrus peel, soap, and fizzy clean air, with a subtle dry wood and sweet undertone."
"['mandarin orange', 'soap', 'prosecco']",It smells like citrusy candy and soap.
"['pistachio', 'pear', 'mandarin orange', 'almond', 'orange blossom', 'magnolia', 'almond milk', 'tonka bean', 'cashmeran', 'patchouli']","It smells like juicy pear and soap, with hints of sawdust and caramel."
